98.179.8.48 - - [20/Feb/2011:15:16:30 -0600] "GET /~fackermann/a5/otherpage.html HTTP/1.1" 200 1208 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:15:18:57 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.168.193.160 - - [20/Feb/2011:15:21:16 -0600] "GET /~jrauscher/a7/ HTTP/1.1" 200 2064 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
98.179.8.48 - - [20/Feb/2011:15:23:38 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
68.227.174.153 - - [20/Feb/2011:15:27:21 -0600] "GET /~kholtz/a5/otherpage.html HTTP/1.1" 200 1274 "http://blizzard.ist.unomaha.edu/~kholtz/a5/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13 ( .NET CLR 3.5.30729)"
76.84.160.6 - - [20/Feb/2011:15:31:40 -0600] "GET /images/images/bg_body.jpg HTTP/1.1" 404 250 "http://squishy.unomaha.edu/1300-1-xhtml/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDC; InfoPath.2; .NET4.0C; BRI/1; BO1IE8_v1;ENUS)"
98.179.8.48 - - [20/Feb/2011:15:34:47 -0600] "GET /~fackermann/a5/index.html HTTP/1.1" 200 1038 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:15:39:43 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.168.193.160 - - [20/Feb/2011:15:41:05 -0600] "GET /~jrauscher/a7/images/Tball.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
76.84.159.217 - - [20/Feb/2011:15:43:06 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1482 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.168.193.160 - - [20/Feb/2011:15:46:40 -0600] "GET /~jrauscher/a7/ HTTP/1.1" 200 2062 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
98.168.193.160 - - [20/Feb/2011:15:49:32 -0600] "GET /~jrauscher/a7/images/Tball.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
98.179.8.48 - - [20/Feb/2011:15:53:36 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.168.193.160 - - [20/Feb/2011:15:58:32 -0600] "GET /~jrauscher/a7/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
76.84.159.217 - - [20/Feb/2011:15:59:41 -0600] "GET /~dtwilliams/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/otherpage.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
76.84.159.217 - - [20/Feb/2011:16:00:50 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1485 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.179.8.48 - - [20/Feb/2011:16:02:19 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
76.84.159.217 - - [20/Feb/2011:16:10:10 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1486 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
64.255.180.21 - - [20/Feb/2011:16:14:14 -0600] "GET /~jrauscher/a7/my.css HTTP/1.1" 200 2157 "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
76.84.159.217 - - [20/Feb/2011:16:16:42 -0600] "GET /~dtwilliams/a5/my.css HTTP/1.1" 200 1988 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/otherpage.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.179.8.48 - - [20/Feb/2011:16:20:02 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:16:23:14 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
